epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1612,2.79755,2.73481,2.07019,0.01595,0.4168,0.05187,0.02046,2.78403,3.19758,2.18682,0.000653846,0.000653846,0.000653846
2,73.9126,2.17568,1.82224,1.48548,0.43717,0.51823,0.4461,0.17821,1.99992,1.88959,1.35834,0.00123336,0.00123336,0.00123336
3,107.743,2.11082,1.71897,1.40444,0.49224,0.50389,0.46665,0.17611,1.95359,2.0117,1.33209,0.00172487,0.00172487,0.00172487
