epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0163,4.81011,3.69033,3.56672,0.22072,0.18196,0.08661,0.02106,3.5231,2.75654,2.75178,0.00066343,0.00066343,0.00066343
2,72.7144,3.10539,2.37571,2.39205,0.2963,0.35925,0.26919,0.08461,2.59874,2.07714,2.07287,0.00124231,0.00124231,0.00124231
3,105.656,2.82361,2.13672,2.09939,0.29345,0.36081,0.27109,0.09047,2.46354,2.00393,1.94967,0.00173319,0.00173319,0.00173319
4,137.396,2.62894,1.99337,1.91513,0.35785,0.37481,0.2801,0.1043,2.28213,1.92799,1.83322,0.001604,0.001604,0.001604
5,169.079,2.56862,1.92295,1.88718,0.40022,0.4168,0.33782,0.11815,2.36106,1.86376,1.79216,0.001472,0.001472,0.001472
6,226.94,2.45113,2.00931,1.92477,0.4179,0.44884,0.37438,0.1307,2.27675,1.79036,1.74042,0.00134,0.00134,0.00134
7,258.788,2.41527,1.94035,1.87425,0.43563,0.38654,0.38617,0.14649,2.21167,1.82708,1.71629,0.001208,0.001208,0.001208
8,290.886,2.34563,1.87369,1.81757,0.44897,0.43079,0.43319,0.16774,2.11166,1.73052,1.63824,0.001076,0.001076,0.001076
9,322.2,2.32974,1.84822,1.80594,0.47317,0.47589,0.45574,0.17605,2.07897,1.68565,1.62619,0.000944,0.000944,0.000944
10,354.406,2.28578,1.80663,1.77259,0.46415,0.46812,0.44979,0.18045,2.04731,1.6908,1.60321,0.000812,0.000812,0.000812
11,386.714,2.27156,1.79316,1.76255,0.48516,0.48989,0.46598,0.18921,2.02623,1.67017,1.57681,0.00068,0.00068,0.00068
12,419.293,2.25655,1.74577,1.7397,0.42219,0.47434,0.42366,0.17039,2.03128,1.70136,1.58278,0.000548,0.000548,0.000548
13,451.449,2.22195,1.69988,1.70207,0.4714,0.48834,0.46978,0.19625,1.99977,1.60818,1.55924,0.000416,0.000416,0.000416
14,484.551,2.18588,1.69989,1.67742,0.50236,0.53033,0.5194,0.20931,1.98207,1.54255,1.54356,0.000284,0.000284,0.000284
15,517.938,2.16643,1.67606,1.67476,0.5388,0.49456,0.51656,0.20787,1.97991,1.55946,1.54801,0.000152,0.000152,0.000152
