epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6548,3.9373,4.00055,4.00153,0.02979,0.19596,0.01963,0.00537,3.44546,3.84813,3.75939,0.00066343,0.00066343,0.00066343
2,92.7024,3.05795,3.10057,3.09979,0.13748,0.20529,0.09108,0.0264,2.60076,3.25007,2.68118,0.00124231,0.00124231,0.00124231
3,137.019,2.72145,2.74225,2.58684,0.28186,0.29082,0.20418,0.07002,2.30906,2.53984,2.36534,0.00173319,0.00173319,0.00173319
