epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.46,4.97155,3.81937,3.72208,0.19227,0.20249,0.0829,0.01988,3.61896,2.82502,2.90139,0.00066343,0.00066343,0.00066343
2,62.5424,3.1552,2.37066,2.46766,0.27221,0.34992,0.22708,0.06587,2.67083,2.10965,2.14656,0.00124231,0.00124231,0.00124231
3,93.4765,2.8125,2.14115,2.09273,0.34844,0.41168,0.33858,0.11034,2.45575,1.98233,1.8951,0.00173319,0.00173319,0.00173319
4,125.375,2.63737,2.01853,1.92098,0.34962,0.39658,0.31425,0.11015,2.33106,1.92662,1.82559,0.001604,0.001604,0.001604
5,156.418,2.54505,1.9352,1.86949,0.37425,0.42302,0.35286,0.12487,2.32336,1.86137,1.79565,0.001472,0.001472,0.001472
6,209.799,2.43728,2.00297,1.91035,0.40713,0.4539,0.40156,0.14793,2.2166,1.78404,1.71735,0.00134,0.00134,0.00134
7,239.771,2.39353,1.92073,1.85285,0.41785,0.432,0.38581,0.14603,2.20843,1.80794,1.70462,0.001208,0.001208,0.001208
8,269.906,2.33885,1.87546,1.79873,0.4344,0.43239,0.42388,0.16116,2.14536,1.7638,1.6653,0.001076,0.001076,0.001076
9,300.037,2.33439,1.84184,1.7977,0.49063,0.45568,0.44759,0.16708,2.09139,1.71531,1.62799,0.000944,0.000944,0.000944
10,330.217,2.27748,1.81312,1.75593,0.48363,0.47123,0.43351,0.17048,2.07924,1.72114,1.61464,0.000812,0.000812,0.000812
11,360.31,2.23964,1.81057,1.74067,0.45246,0.49145,0.47193,0.19124,2.0059,1.6712,1.57111,0.00068,0.00068,0.00068
12,390.696,2.23188,1.75226,1.71551,0.45248,0.49611,0.44755,0.18429,2.03924,1.66828,1.58981,0.000548,0.000548,0.000548
13,420.868,2.20251,1.71865,1.68386,0.44417,0.493,0.45645,0.18979,2.00914,1.65301,1.57287,0.000416,0.000416,0.000416
14,451.132,2.17162,1.71125,1.65673,0.50531,0.49145,0.49621,0.20014,2.00512,1.60837,1.54705,0.000284,0.000284,0.000284
15,481.323,2.14972,1.68149,1.65106,0.48888,0.507,0.49674,0.20131,1.99726,1.58011,1.56105,0.000152,0.000152,0.000152
