epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5977,2.27588,2.44566,1.47307,0.19432,0.4619,0.14822,0.04986,2.09219,2.6749,1.39389,0.000653846,0.000653846,0.000653846
2,84.3315,2.01439,1.77644,1.33525,0.39495,0.39347,0.34405,0.13556,1.91035,1.92209,1.36223,0.00123336,0.00123336,0.00123336
3,125.699,2.01404,1.73005,1.3503,0.45053,0.47181,0.43022,0.17863,1.84689,1.83891,1.30742,0.00172487,0.00172487,0.00172487
4,161.498,1.9766,1.65423,1.31104,0.45191,0.48343,0.45116,0.18626,1.95619,1.76539,1.40223,0.001604,0.001604,0.001604
5,202.683,1.92848,1.61896,1.31075,0.51043,0.48834,0.47766,0.19847,1.85953,1.70786,1.3094,0.001472,0.001472,0.001472
6,259.195,1.8951,1.67969,1.34721,0.47891,0.51944,0.48095,0.1853,2.02678,1.69254,1.38124,0.00134,0.00134,0.00134
7,292.475,1.903,1.60998,1.32289,0.53077,0.46656,0.48844,0.19532,1.90831,1.71046,1.3168,0.001208,0.001208,0.001208
8,326.136,1.86369,1.57346,1.30805,0.50524,0.56143,0.54374,0.22777,1.85664,1.59625,1.27302,0.001076,0.001076,0.001076
9,359.009,1.85143,1.51257,1.29838,0.50931,0.57468,0.55645,0.23925,1.8286,1.59719,1.31167,0.000944,0.000944,0.000944
10,385.868,1.8342,1.5242,1.30548,0.53439,0.55677,0.54386,0.22946,1.82536,1.59437,1.26265,0.000812,0.000812,0.000812
11,417.918,1.78385,1.47473,1.27339,0.5325,0.57854,0.57192,0.26126,1.78103,1.55351,1.28937,0.00068,0.00068,0.00068
12,451.714,1.79201,1.43169,1.28064,0.58651,0.5972,0.5987,0.27637,1.76868,1.46449,1.25528,0.000548,0.000548,0.000548
13,486.013,1.77332,1.41575,1.26933,0.60436,0.58165,0.61464,0.28223,1.76996,1.53322,1.26439,0.000416,0.000416,0.000416
14,516.873,1.73889,1.37163,1.2404,0.5963,0.61794,0.62146,0.29102,1.73131,1.44193,1.23695,0.000284,0.000284,0.000284
15,554.256,1.72898,1.34842,1.24223,0.58703,0.59253,0.61564,0.28339,1.75579,1.47475,1.26306,0.000152,0.000152,0.000152
